# Pure pigments absorption data
Wavelength (nm);TRIO;Pheo-a;Pheo-b;b-CAR;LUT;NEX;Chl-a;Chl-b
Molecular weight ;885.500;871.200;885.200;536.900;568.900;600.880;893.509;907.492
606;3.1123E-03;8.3237E+03;8.3309E+03;8.3786E+01;1.8248E+02;0.0000E+00;1.1923E+04;7.9234E+03
605;3.0929E-03;7.8639E+03;8.6135E+03;9.2089E+01;1.5815E+02;0.0000E+00;1.1420E+04;8.1500E+03
604;3.0541E-03;7.3752E+03;8.8371E+03;9.8883E+01;1.4842E+02;0.0000E+00;1.0879E+04;8.3630E+03
603;3.1317E-03;6.8623E+03;8.9891E+03;1.0266E+02;1.4355E+02;0.0000E+00;1.0407E+04;8.6339E+03
602;3.1026E-03;6.3437E+03;9.0571E+03;1.0643E+02;1.2895E+02;0.0000E+00;9.9244E+03;8.8393E+03
601;2.9571E-03;5.8290E+03;9.0642E+03;1.0794E+02;1.1679E+02;0.0000E+00;9.4771E+03;9.0138E+03
600;2.9184E-03;5.3451E+03;8.9855E+03;1.1624E+02;9.7324E+01;0.0000E+00;9.0541E+03;9.1728E+03
599;2.9765E-03;4.9123E+03;8.8281E+03;1.2228E+02;7.5426E+01;0.0000E+00;8.6821E+03;9.2654E+03
598;2.8893E-03;4.5373E+03;8.5795E+03;1.2832E+02;6.3260E+01;0.0000E+00;8.3663E+03;9.2827E+03
597;2.8408E-03;4.2125E+03;8.2594E+03;1.3511E+02;7.0560E+01;0.0000E+00;8.1224E+03;9.2962E+03
596;2.8505E-03;3.9242E+03;7.8731E+03;1.3964E+02;7.2993E+01;0.0000E+00;7.9087E+03;9.2644E+03
595;2.7826E-03;3.6842E+03;7.4045E+03;1.4493E+02;6.5693E+01;0.0000E+00;7.7781E+03;9.1931E+03
594;2.7632E-03;3.4721E+03;6.8930E+03;1.5021E+02;6.5693E+01;0.0000E+00;7.7011E+03;9.0591E+03
593;2.7632E-03;3.3073E+03;6.3653E+03;1.5851E+02;7.2993E+01;0.0000E+00;7.7002E+03;8.9203E+03
592;2.7148E-03;3.1772E+03;5.8359E+03;1.6757E+02;9.2457E+01;0.0000E+00;7.6872E+03;8.7342E+03
591;2.5596E-03;3.0692E+03;5.3334E+03;1.7663E+02;9.0024E+01;0.0000E+00;7.7616E+03;8.5703E+03
590;2.5305E-03;2.9699E+03;4.8737E+03;1.8191E+02;9.4891E+01;0.0000E+00;7.8551E+03;8.3650E+03
589;2.5499E-03;2.8986E+03;4.4945E+03;1.9097E+02;1.1436E+02;0.0000E+00;7.9727E+03;8.1095E+03
588;2.7535E-03;2.8446E+03;4.1476E+03;1.9550E+02;1.2895E+02;0.0000E+00;8.1414E+03;7.8791E+03
587;2.6566E-03;2.8195E+03;3.8560E+03;2.0682E+02;1.5085E+02;0.0000E+00;8.2599E+03;7.6439E+03
586;2.5305E-03;2.8147E+03;3.6325E+03;2.1513E+02;1.6058E+02;0.0000E+00;8.4589E+03;7.4501E+03
585;2.6372E-03;2.8118E+03;3.4608E+03;2.2645E+02;1.7762E+02;0.0000E+00;8.5861E+03;7.2168E+03
584;2.6954E-03;2.8128E+03;3.3213E+03;2.3551E+02;1.9221E+02;0.0000E+00;8.7158E+03;7.0028E+03
583;2.6275E-03;2.8147E+03;3.2301E+03;2.4457E+02;2.0195E+02;0.0000E+00;8.8145E+03;6.8003E+03
582;2.7438E-03;2.8032E+03;3.1800E+03;2.5362E+02;1.8978E+02;0.0000E+00;8.9001E+03;6.6644E+03
581;2.7729E-03;2.7810E+03;3.1657E+03;2.6117E+02;1.9708E+02;0.0000E+00;8.9243E+03;6.5593E+03
580;2.8796E-03;2.7887E+03;3.1800E+03;2.7400E+02;2.1655E+02;0.0000E+00;8.9018E+03;6.4600E+03
579;2.9475E-03;2.8302E+03;3.2336E+03;2.8231E+02;2.3844E+02;0.0000E+00;8.8525E+03;6.3752E+03
578;2.9571E-03;2.8870E+03;3.3374E+03;2.9061E+02;2.4574E+02;0.0000E+00;8.7686E+03;6.3193E+03
577;3.1026E-03;2.9574E+03;3.4697E+03;3.0118E+02;2.5791E+02;0.0000E+00;8.6657E+03;6.2720E+03
576;3.1995E-03;3.0094E+03;3.6396E+03;3.1325E+02;2.6764E+02;0.0000E+00;8.5541E+03;6.2836E+03
575;3.2868E-03;3.0952E+03;3.8417E+03;3.2307E+02;3.0170E+02;0.0000E+00;8.4061E+03;6.2855E+03
574;3.4225E-03;3.1830E+03;4.0814E+03;3.3514E+02;3.3820E+02;0.0000E+00;8.2322E+03;6.2682E+03
573;3.5486E-03;3.2707E+03;4.3497E+03;3.5175E+02;3.7713E+02;0.0000E+00;8.0445E+03;6.2238E+03
572;3.7328E-03;3.3632E+03;4.6645E+03;3.6685E+02;4.1606E+02;0.0000E+00;7.8594E+03;6.2296E+03
571;3.7328E-03;3.4606E+03;5.0114E+03;3.8194E+02;4.6229E+02;0.0000E+00;7.6518E+03;6.2412E+03
570;3.7522E-03;3.5464E+03;5.3834E+03;3.9478E+02;5.0122E+02;0.0000E+00;7.4433E+03;6.2200E+03
569;4.0237E-03;3.6457E+03;5.7644E+03;4.1138E+02;5.1338E+02;0.0000E+00;7.1933E+03;6.2190E+03
568;4.0334E-03;3.7392E+03;6.1614E+03;4.2648E+02;5.2555E+02;0.0000E+00;6.9450E+03;6.2306E+03
567;3.9558E-03;3.8172E+03;6.5710E+03;4.4460E+02;5.2555E+02;0.0000E+00;6.6924E+03;6.1959E+03
566;4.2273E-03;3.8828E+03;6.9556E+03;4.6271E+02;5.5474E+02;0.0000E+00;6.4320E+03;6.1776E+03
565;4.2660E-03;3.9483E+03;7.2936E+03;4.8083E+02;5.7664E+02;0.0000E+00;6.1776E+03;6.1602E+03
564;4.1885E-03;4.0042E+03;7.5923E+03;5.0121E+02;5.9854E+02;0.0000E+00;5.9588E+03;6.1477E+03
563;4.4115E-03;4.0399E+03;7.8248E+03;5.2385E+02;6.1071E+02;0.0000E+00;5.7096E+03;6.1371E+03
562;4.4987E-03;4.0467E+03;8.0126E+03;5.4876E+02;6.1800E+02;0.0000E+00;5.4683E+03;6.0522E+03
561;4.6830E-03;4.0370E+03;8.1503E+03;5.7669E+02;6.4477E+02;0.0000E+00;5.2935E+03;6.0657E+03
560;4.8478E-03;4.0062E+03;8.2343E+03;6.0613E+02;6.5937E+02;0.0000E+00;5.1257E+03;6.0696E+03
559;4.9738E-03;3.9512E+03;8.2880E+03;6.3406E+02;6.9100E+02;0.0000E+00;4.9622E+03;6.0522E+03
558;5.0999E-03;3.8780E+03;8.2969E+03;6.6274E+02;7.1776E+02;0.0000E+00;4.8056E+03;5.9992E+03
557;5.0999E-03;3.7893E+03;8.2969E+03;6.9369E+02;7.4696E+02;0.0000E+00;4.6533E+03;6.0040E+03
556;5.0611E-03;3.7179E+03;8.2612E+03;7.2917E+02;7.6886E+02;0.0000E+00;4.5764E+03;5.9973E+03
555;5.2453E-03;3.6591E+03;8.2361E+03;7.6464E+02;7.9075E+02;0.0000E+00;4.5020E+03;6.0079E+03
554;5.3519E-03;3.6235E+03;8.1950E+03;8.0691E+02;8.1995E+02;0.0000E+00;4.4163E+03;6.0195E+03
553;5.3713E-03;3.5550E+03;8.1360E+03;8.4994E+02;8.3942E+02;0.0000E+00;4.3523E+03;5.9944E+03
552;5.6137E-03;3.5059E+03;8.0895E+03;9.0051E+02;8.4428E+02;0.0000E+00;4.3324E+03;6.0098E+03
551;5.7204E-03;3.4847E+03;8.0609E+03;9.5109E+02;8.8321E+02;0.0000E+00;4.2935E+03;5.9944E+03
550;5.7882E-03;3.5637E+03;8.0626E+03;1.0069E+03;9.3674E+02;0.0000E+00;4.3013E+03;5.9616E+03
549;5.8949E-03;3.7343E+03;8.1288E+03;1.0636E+03;9.8297E+02;3.4402E+00;4.3558E+03;5.9443E+03
548;6.1470E-03;4.0071E+03;8.2326E+03;1.1307E+03;1.0170E+03;1.8348E+01;4.3661E+03;5.9144E+03
547;6.2149E-03;4.3715E+03;8.3989E+03;1.2032E+03;1.0608E+03;8.0271E+01;4.3878E+03;5.8382E+03
546;6.4863E-03;4.8593E+03;8.6225E+03;1.2877E+03;1.1046E+03;3.8989E+01;4.4414E+03;5.7785E+03
545;6.5348E-03;5.4723E+03;8.9176E+03;1.3753E+03;1.1679E+03;4.5869E+01;4.5167E+03;5.7081E+03
544;6.8645E-03;6.2155E+03;9.2842E+03;1.4742E+03;1.2287E+03;3.3255E+01;4.6118E+03;5.6493E+03
543;6.9517E-03;7.0686E+03;9.7063E+03;1.5806E+03;1.2993E+03;6.8804E+01;4.6836E+03;5.5664E+03
542;7.0002E-03;8.0201E+03;1.0166E+04;1.6999E+03;1.3844E+03;1.6628E+02;4.7252E+03;5.4497E+03
541;7.1068E-03;9.0004E+03;1.0638E+04;1.8312E+03;1.4574E+03;1.6054E+02;4.8186E+03;5.3832E+03
540;7.3105E-03;9.9123E+03;1.1117E+04;1.9829E+03;1.5426E+03;1.0894E+02;4.8800E+03;5.2675E+03
539;7.5625E-03;1.0668E+04;1.1572E+04;2.1505E+03;1.6107E+03;1.7889E+02;4.9674E+03;5.1644E+03
538;7.6789E-03;1.1181E+04;1.1962E+04;2.3407E+03;1.7007E+03;1.9150E+02;4.9968E+03;5.0535E+03
537;7.8146E-03;1.1381E+04;1.2285E+04;2.5559E+03;1.7737E+03;2.1100E+02;5.0357E+03;4.9349E+03
536;8.0085E-03;1.1240E+04;1.2514E+04;2.8042E+03;1.8613E+03;2.1100E+02;5.0271E+03;4.8106E+03
535;8.1734E-03;1.0780E+04;1.2677E+04;3.0865E+03;1.9392E+03;2.1329E+02;4.9795E+03;4.6669E+03
534;8.0861E-03;1.0074E+04;1.2777E+04;3.4088E+03;2.0219E+03;1.9953E+02;4.9527E+03;4.5628E+03
533;8.2121E-03;9.2423E+03;1.2815E+04;3.7772E+03;2.0998E+03;2.1673E+02;4.9094E+03;4.4240E+03
532;8.2509E-03;8.3709E+03;1.2820E+04;4.2006E+03;2.1849E+03;2.2361E+02;4.8220E+03;4.2958E+03
531;8.3285E-03;7.5680E+03;1.2815E+04;4.6830E+03;2.2506E+03;2.5228E+02;4.7416E+03;4.1810E+03
530;8.4351E-03;6.8517E+03;1.2838E+04;5.2461E+03;2.3309E+03;3.5319E+02;4.6637E+03;4.0740E+03
529;8.6290E-03;6.2763E+03;1.2858E+04;5.8945E+03;2.4112E+03;3.9792E+02;4.5997E+03;3.9824E+03
528;8.7551E-03;5.8309E+03;1.2895E+04;6.6410E+03;2.5207E+03;4.3117E+02;4.4717E+03;3.8880E+03
527;8.8811E-03;5.5244E+03;1.2944E+04;7.4977E+03;2.6496E+03;4.4149E+02;4.3609E+03;3.7896E+03
526;9.0169E-03;5.3364E+03;1.2979E+04;8.4760E+03;2.8005E+03;4.4149E+02;4.2736E+03;3.7154E+03
525;9.3756E-03;5.2342E+03;1.2992E+04;9.5818E+03;2.9830E+03;4.3117E+02;4.1551E+03;3.6450E+03
524;9.6665E-03;5.2159E+03;1.2944E+04;1.0830E+04;3.2190E+03;5.3208E+02;4.0461E+03;3.5939E+03
523;9.8895E-03;5.2805E+03;1.2829E+04;1.2235E+04;3.4769E+03;5.9745E+02;3.9024E+03;3.5207E+03
522;9.9573E-03;5.4261E+03;1.2652E+04;1.3811E+04;3.7883E+03;6.6281E+02;3.8090E+03;3.4850E+03
521;9.9864E-03;5.6651E+03;1.2382E+04;1.5571E+04;4.1533E+03;6.4676E+02;3.6853E+03;3.4281E+03
520;1.0287E-02;5.9958E+03;1.1958E+04;1.8649E+04;4.6934E+03;7.4996E+02;3.5547E+03;3.3905E+03
519;1.0820E-02;6.2753E+03;1.1590E+04;2.0142E+04;5.0633E+03;8.1533E+02;3.4708E+03;3.3577E+03
518;1.1082E-02;6.6879E+03;1.1148E+04;2.2102E+04;5.5596E+03;8.8298E+02;3.3704E+03;3.3095E+03
517;1.1295E-02;7.2807E+03;1.0652E+04;2.4780E+04;6.2044E+03;9.9651E+02;3.3029E+03;3.2864E+03
516;1.1576E-02;7.9545E+03;1.0184E+04;2.7699E+04;6.9684E+03;1.0722E+03;3.2657E+03;3.2748E+03
